Reference, Quantity, Value, Footprint, Datasheet, MouserNo, Type, Mfr:, Mfr. No:, RSNo
C_NEG6 C_POS6 ,2,"100uF","Capacitor_SMD:CP_Elec_10x12.6","https://www.mouser.co.uk/datasheet/2/315/ABA0000C1024-947657.pdf","710-865080545012","Voltage: 35V, RippleCurrent: 1.5A","","",""
C_NEG1 C_POS1 ,2,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","603-AS0805KKX79BB104","35V","","",""
C_NEG2 C_NEG3 C_NEG4 C_NEG5 C_POS2 C_POS3 C_POS4 C_POS5 ,8,"3300uF","Capacitor_SMD:CP_Elec_18x22","","667-EEV-FK1E332M","Voltage: 35V, RippleCurrent: 1.5A","","",""
D_NEG1 D_NEG2 D_NEG3 D_POS1 D_POS2 D_POS3 ,6,"HER202G","Diode_SMD:D_SMA_Handsoldering","~","863-MURA105T3G","2A","","",""
D_NEG4 D_POS4 ,2,"LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","710-156120RS75300","","","",""
HS1 ,1,"Heatsink","Heatsink:Heatsink_SheetType_50x7mm_2Fixations","https://docs-emea.rs-online.com/webdocs/0f3d/0900766b80f3d603.pdf","","","Fischer Elektronik","SK 575/50 SA","722-6864"
J_OUT1 J_OUT2 ,2,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
J_PWR1 ,1,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
R_NEG1 R_POS1 ,2,"1K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","71-CRCW08051K00JNEAC","","","",""
R_NEGREG1 R_POSREG1 ,2,"120R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","791-RCM1/10121FTP","0.5W","","",""
R_NEGREG2 R_POSREG2 ,2,"1K1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","652-CR0805JW-112ELF","0.5W","","",""
U_NEGREG1 ,1,"LM337_TO220","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.ti.com/lit/ds/symlink/lm337-n.pdf","","","863-LM337TG","",""
U_POSREG1 ,1,"LM317_3PinPackage","Package_TO_SOT_THT:TO-220F-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","595-LM317KCT","","595-LM317KCT","",""
